,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
50,2003 jeep wrangler,20000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2003-jeep-wrangler/7781774156.html,jeep,22.0,9.903487552536127,3.091042453358316,title,2003,good, 8 cylinders,4wd,gas,59500,green,automatic,SUV,"2003 Jeep WranglerBuilt on Xtreme 4x4 with Ian Johnson and Jessi Combs as their ""Dual Purpose TJ"" project.  A few changes have been made but it's largely the vehicle that was built on the show - still has the Hemi V8 and 4 spd Atlas.  It now sits on 39.5's, it's been boat-sided and the cage is different.  Recently the D44s were removed and a pair of one tons (D60/Sterling) out of a Super Duty were trussed and swapped in to better match the rest of the Jeep.  The interior of the axles are in good shape as the covers have been removed, inspected and filled with fresh gear oil.  The front axle is open and the rear is a limited-slip, so they just need lockers, depending on your usage.  It's been barely used over the last 10 or so years that I've owned it and it's too nice to just let sit.  I started to convert it to more of a street legal vehicle a while back (and was going to run some smaller tires on narrower axles) so the flares were added - they need to be removed or trimmed for the 39's.  Fires right up and sounds great.Drivetrain:- Low mileage '05 5.7L Hemi and attached automatic trans (545RFE) with Lokar shifter, 4 speed Atlas transfer case, Super Duty axles (leaf spring era - confirmed a D60 not a D50). Suspension/steering:Gen-Right suspension system - 3 link front, 4 link rear, stretch kit, w/ steel corners and remote reservoir King coil-overs.  Currie Sway Loc air controlled front sway bar.  AGR steering box w/ hydraulic assist.Tires/wheels39"" Iroks on Mickey Thompson aluminum 16x10, Front tires in great shape, will need rear tires.Misc:Crawler gas tank skidSpeedglass windshieldMastercraft seats front and rearElectric fan, trans coolerSoft top12 volt guy switch panel, LED tail lightsHarnesses and a few spare parts included.Installed a front bumperInstalled a new heavy-duty winch plate, mounted the Ramsey 9500 winch and wired to batteryPermanent mount for track bar completedOff-Road Anonymous high-steer knuckle kit installedBarnes heavy duty drag-link and tie-rod installed with new heim jointsHydro-assist steering completed and functionalSwapped out master cylinder with 2001 Dodge 2500 master cylinderAdjusted control arms and set pinion angleCompleted fuel filler hoseWhat you see in the pics reflects its current condition and is what you will get.  Only the soft top is included.  It needs just a few lug nuts, e-brake cables and the brake rotors are pretty crusty.  Lots of good parts with low miles and little use.  Serious buyers only.  Please only contact if you are ready to view and buy.  No trades."
51,yes i have title,2800,,https://charlottesville.craigslist.org/cto/d/charlottesville-yes-have-title/7781670977.html,missing,,7.937374696163295,,title,2003,excellent, 6 cylinders,fwd,gas,205138,grey,automatic,sedan,2003 Buick park Avenue in good condition for the year rides smooth. Has leather seats they are also heated power window and doors .
52,2016 kia sorento,9500,2016.0,https://charlottesville.craigslist.org/cto/d/haywood-2016-kia-sorento/7781590995.html,kia,9.0,9.159047077588632,2.1972245773362196,title,2016,excellent, 6 cylinders,4wd,gas,129284,white,automatic,SUV,"This SUV is a great ride, very comfortable. It has a back-up camera, bluetooth, AWD with 4X4, and can be put into manual mode. We purchased this for our daughter, but she learned on a smaller vehicle and, after a few months, is still not feeling comfortable with the size. This is a great car for a family, with a third rear seat that folds down for tons of storage space. New rear brakes and transmission fluid flush, inspected in Aug. If you prefer to text, add your phone number to your email, and I will text you.bburg202@yah@@    "
53,2008 acura tl,3500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-acura-tl/7781590435.html,acura,17.0,8.160518247477505,2.833213344056216,title,2008,good, 6 cylinders,fwd,gas,230000,blue,automatic,sedan,"For sale 2008 Acura TL 230,000 miles and counting. Engine and Transmission Good. Interior fair. Fully loaded. Navigation Back up Camera, heated seats, Power windows, Power locks  Outside Good interior fair. Good inspection until 11/30.Priced to sell serious inquiries only .$3500 or best offer. Cash Money Talks! Call or text Kay"
54,*for sale* subaru outback 2007,3900,2007.0,https://charlottesville.craigslist.org/cto/d/gordonsville-for-sale-subaru-outback/7781590306.html,subaru,18.0,8.268731832117737,2.8903717578961645,title,2007,excellent, 4 cylinders,4wd,gas,114000,green,automatic,wagon,"I am selling a 2007 Subaru Outback with a 2.5 engine and fuel economy. IT ACTUALLY HAS A NEW WATER PUMP, TIMING BELT, THERMOSTAT, TEMPERATURE SENSOR, SERPENTINE BELTS, RADIATOR, VALVE COVER GASKETS, SPARK PLUGS, SPARK PLUG WIRES, ANTIFREEZE, NEW ENGINE OIL AND FILTER, AND AIR FILTER. Clean title in hand. And no accidents. AT AUTOZONE THEY TOLD ME THAT IT HAS THE CHECK ENGINE BECAUSE IT NEEDS THE OXYGEN SENSOR BANK 1. IT HAS HALF-LIFE TIRES. And I am selling it because I have two more cars and I don't need this Outback. Someone who is interested send me a message here so they can look at it... I'm honest, the truth is. The car has had its engine replaced and has a new engine with only 114xxx miles and to verify the mileage I have the engine papers in hand. PRICE IS NEGOTIABLE AND I WILL LISTEN TO OFFERS. THANK YOU"
55,audi allroad,11665,,https://charlottesville.craigslist.org/cto/d/charlottesville-audi-allroad/7781459189.html,audi,,9.36434818445553,,title,2014,excellent, 4 cylinders,4wd,gas,106000,black,automatic,SUV,"2014 AUDI ALLROAD 2.0t QUATTRO PREMIUM PLUSONE PREVIOUS OWNER BELIEVED TO BE A SENIOR COUPLEOUTSTANDING CONDITION107,000 MILESRECENT SERVICE WITH NEW ROTORS AND PADSNEW TIRES AT 92,000ABSOLUTELY FANTASTIC CAR WENT TO QUEBEC SKIING IN FEBRUARY NEVER MISSED A BEAT AND STARTED FIRST TIME IN MINUS 25.6 F TEMPERATURESBANG & OLUFSEN SOUND SYSTEMSAT NAV, ELECTRIC HEATED SEATS, POWER TAILGATERELUCTANT SALE BUT IT IS NOW NO LONGER NEEDED"
56,2004 f150,3000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-f150/7781429289.html,missing,21.0,8.006367567650246,3.044522437723423,title,2004,fair, 8 cylinders,4wd,gas,270000,grey,automatic,pickup,3000 obo 2004 f150 can't get it to start will take any offer just need to get a new truck so I can get to work it's got 2 12s in the back new tires rock lights underneath
57,2011 mercury gran marquis ls,3600,2011.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2011-mercury-gran-marquis/7781391243.html,missing,14.0,8.1886891244442,2.6390573296152584,title,2011,good, 8 cylinders,rwd,gas,145000,silver,automatic,sedan,"Clean one owner 2011 Gran Marquis LS four door sedan.145000 miles, new battery , solid tires.Runs excellent, leather seats, loaded"
58,beautiful 2019 mercedes 300c convertible,31950,2019.0,https://charlottesville.craigslist.org/cto/d/charlottesville-beautiful-2019-mercedes/7781346288.html,missing,6.0,10.371927459805681,1.791759469228055,title,2019,like new, 4 cylinders,4wd,gas,45560,silver,automatic,convertible,"Mojave Silver w/ Dark Brown Top, Saddle Brown interior. 9 sp Automatic, Premium package, Nav System, Burmeister Surround Sound, Heated Seats, AirScarf, Parking Assist. Lovingly Cared for, Reliable, Excellent Condition, 24/31 Mpg, Fast and Fun to Drive, Sure Footed AWD, Handles Great in Bad Weather.  45,560 mi.       Located in Charlottesville, Virginia  $31,950 or best offer."
59,toyota corolla 2018,11000,2018.0,https://charlottesville.craigslist.org/cto/d/charlottesville-toyota-corolla-2018/7781210696.html,toyota,7.0,9.305650551780507,1.9459101490553132,title,2018,excellent, 4 cylinders,4wd,gas,115000,black,automatic,sedan,"Selling my 2018 toyota corolla, 115kThe bumper replaced & rear left door repaired, other than that the car runs great.    "
60,bmw x5,8500,,https://charlottesville.craigslist.org/cto/d/waynesboro-bmw-x5/7780668737.html,bmw,,9.047821442478408,,title,2013,excellent, 6 cylinders,4wd,gas,120000,black,automatic,SUV,"2013 BMW X5, 3.0 in line 6 cylinder with twin turbos.All wheel drive, Saddle leather interior, Factory running boards, Fully retractable glass sunroof over front and rear seats, State inspection in July of this year, power everything, heated seats front and rear, AM FM, satellite radio, CD player. Very quick and nimble vehicle. Very comfortable and fun to drive.120,000 miles."
61,2009 kia rondo ex 145k miles,3500,2009.0,https://charlottesville.craigslist.org/cto/d/louisa-2009-kia-rondo-ex-145k-miles/7780623128.html,kia,16.0,8.160518247477505,2.772588722239781,title,2009,good, 4 cylinders,missing,gas,145000,black,automatic,missing,"Dependable transportation, black. Newer tires. Runs great. Firm $3500"
62,2002 gmc 3500 4x4 extended cab utility bed,8900,2002.0,https://charlottesville.craigslist.org/cto/d/piney-river-2002-gmc-x4-extended-cab/7780543822.html,gmc,23.0,9.093806555720231,3.1354942159291497,title,2002,good, 8 cylinders,4wd,gas,218528,white,automatic,truck,"2002 GMC Sierra 3500 4x4 Extended CabFiberglass Utility Bed w/Cabinets and Built in Metal Sliding Drawers Ladder/Material Rack 218,528 mileage 8.1 V8 Good Condition"
63,volvo 240 sedan 1992,2100,1992.0,https://charlottesville.craigslist.org/cto/d/esmont-volvo-240-sedan-1992/7780475292.html,volvo,33.0,7.649692623711514,3.4965075614664802,title,1992,fair, 4 cylinders,missing,gas,160000,missing,automatic,sedan,runs fine. needs a little TLC-left headlamp and muffler pipe affixed.odometer stopped at 160knavy blue-antique
64,2006 hyundai azera limited,3250,2006.0,https://charlottesville.craigslist.org/cto/d/quinque-2006-hyundai-azera-limited/7780464989.html,missing,19.0,8.086410275323782,2.9444389791664403,title,2006,good, 6 cylinders,fwd,gas,194000,white,automatic,sedan,"Time to sell my trusty Hyundai Azera.Well maintained car.Limited trim has lots of electronic features.The 3.8 V6 is an incredibly reliable engine and it hasn’t left me stranded once since I got it at 89k miles. Thing runs still drives amazing. I just needed a 4x4.Tires have plenty of tread (less than 15k wear)Full synthetic oil changed every 7000AC blows coldSpeakers sound greatTransmission drives smooth (fluids flushed 4 years ago)Full timing chain and water pump replacement at 140k2021 ABS Module Recall performed by Dealer.New radiator at 161kJust replaced the AC compressor and Alternator yesterday.Power windows workNo check engine lightClean title in hand“Manumatic” shift modeAlloy wheels including spare4-wheel disc brakesHeated leather seatsPower tilt and telescoping steering wheelAuto wipersPower folding and adjusting mirrorsCons:- The driver door power locks work great, but the others are hit or miss. Seems like they work better in colder months- Couple dings, couple dents. Clipped a car last summer on front left side. Dent by the gas tank door.- Needs a new sway bar link in the front left ($5 part)- Sun roof motor doesn’t work. Never bothered to replace the motors.-Window tint peelingSold as-is    "
65,2018 subaru forester 2.5i touring cvt,23500,2018.0,https://charlottesville.craigslist.org/cto/d/roseland-2018-subaru-forester-25i/7780319702.html,subaru,7.0,10.06475570013225,1.9459101490553132,title,2018,like new, 4 cylinders,missing,gas,38227,black,automatic,SUV,"Luxury edition, excellent condition, 3 owners : first one had it 6 months and 20000 miles, previous owner drove it 2500 miles per year, gave it a complete service, oil and fluid change yearly, new Goodyear tires purchased last winter.  I purchased the car in June 2024, drove about 2000 miles and realized I prefer the smaller Crosstrek and manual transmission.  This car is a creampuff!Luxury Features: Keyless Ignition, Leather Interior, Moonroof & Tinted Windows, 3 Way Seat Adjustment & Memory Setting, Dual Seat Heaters, Dual Climate Control, Heated Steering Wheel. Radio, CD, Sirius, Bluetooth & Harmann Kardon Speakers.  And much more I have not listed.Safety Features: Starlink Roadside & Emergency Assistance (not active), Pre-collision Braking, Lane Departure, Lane Sway, Lane Assist, Adaptive & Conventional Cruise Control, Blindspot Detection, Steering Responsive Headlights, Sideview Mirror Defrost, AWD with X mode, too many more safety features, lights and warning signals to list.    "
66,car for sale,10000,,https://charlottesville.craigslist.org/cto/d/waynesboro-car-for-sale/7780257892.html,missing,,9.210340371976184,,title,2016,like new, 4 cylinders,fwd,gas,13480,white,automatic,sedan,"New brakes and new alternator ,new wiper,new tires and rims.Runs excellent."
67,1969 chevelle for sale or trade,28500,1969.0,https://charlottesville.craigslist.org/cto/d/barboursville-1969-chevelle-for-sale-or/7780220803.html,missing,56.0,10.257659366256743,4.02535169073515,title,1969,good, 8 cylinders,rwd,gas,123456,black,manual,coupe,"For SALE or TRADE. I’m interested  in classic or modern muscle cars and sports cars, to include projects. Willing to trade up or down with cash involved. 1969 Chevelle SS clone, 454 big block, 4-speed Muncie manual transmission. Plenty of power. Runs great and driven fairly regularly. This is NOT a show car, has imperfections, but is in good shape, handles well and gets compliments. Good - Almost all done in last 6 months, front UMI upper/lower control arms w/QA1 adjustable coil overs/shocks and rear UMI upper adjustable control arms w/UMI springs and QA1 shocks. New Eaton trutrac differential installed by professional shop - 3.42 gears. 4 new tires, front disc brakes, front sway bar, radiator, exhaust and battery.  Rebuilt engine/trans. Fires up easily, runs strong. Drives straight and smooth. Unknown true miles on body. Body is in really good shape. Lots of extra parts available. Not so good - Paint imperfections, minimal rust, trunk has few spots needing attention.  Only tach, oil press and temp gauges hooked up. No heat/ac or radio."
68,1989 chevrolet corvette convertible,5000,1989.0,https://charlottesville.craigslist.org/cto/d/scottsville-1989-chevrolet-corvette/7779874166.html,chevrolet,36.0,8.517193191416238,3.58351893845611,title,1989,good, 8 cylinders,rwd,gas,63709,white,automatic,convertible,$5000 White 1989 Chevrolet Corvette ConvertibleBody in good condition except a couple of minor dents in the back fender. Seats have stress tears in them. Canvas top is in poor condition and will most likely need to be replaced.Tires are in poor condition. Engine and transmission in good condition4 extra factory rimsCall or text andrew at 617 three 88 4362. No emails please
69,2008 toyota prius,7500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-toyota-prius/7779766112.html,toyota,17.0,8.922658299524402,2.833213344056216,title,2008,good,missing,missing,hybrid,256669,silver,automatic,hatchback,Great car ready for new driver! 08 Toyota Prius -Silver exterior -Grey leather interior -Working electronics-Heat and a/c -New hybrid battery -All service needs done -48 mpg city-46 mpg highway$7500 or best offer!
70,2021 toyota rav 4 prime hybrid,38000,2021.0,https://charlottesville.craigslist.org/cto/d/earlysville-2021-toyota-rav-prime-hybrid/7779746384.html,toyota,4.0,10.545341438708522,1.3862943611198906,title,2021,good, 4 cylinders,rwd,hybrid,21900,black,automatic,SUV,21K on 3 year old lightly used hybrid. AS you will know it gets 40 miles on a charge and over 90MPG with gas.There are some minor scratches but in good shape. Has added racks to the top and tow hitch to the back.    
71,2007 2500 gmc sierra hd classic,4500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-gmc-sierra-hd-classic/7779516916.html,gmc,18.0,8.411832675758411,2.8903717578961645,title,2007,good, 8 cylinders,4wd,gas,160000,white,automatic,pickup,"2007 GMC Sierra Classic HD25006.0 engineA/C works greatam/fmvinyl mats/cloth bench seat/manual windows and locksI purchased in Dec 2018 from Staunton Tractor when my 2000 crew cab 3500 chevy plow truck got totaled.  The Plow fit this truck.Still have the plow..bolts on ...needs new solenoid....plow works great...could use a couple new bolts probably.  (Plow unit-complete- on site for sale $1,000 OBOif interested)seperate item...Used this truck for a work truck......dump runs, plowing(not much in a last couple years) mulch/dirt...pulls good......will need new hitch to pull....is set up w/ trailer brake.  I used mainly to plow snow and when I pulled dump trailer to landfill on rainy days(4x4) or needed 4x4.  I have another work truck and van to sell.  All maintained regularly to serve our purpose and ready to work today.I've got several trucks from Const Business(retiring-no longer have employees to drive em) I just do not need anymore.4x4 works good....almost new tires at 154KThings I know........rockers have rust and floorpan passenger side will need replacement..soft spot...noticed last inspection...reinforced above but may need replaced eventually for inspection... so yes it has rust...needs exhaust manifold /gasket replaced.  this is only items I am aware of that it will need for inspection.INSP 10/24....replaced Oil pump/Oil pump sensor/gasketsBreaks /break lines replacedJasper tranny at 157K-trans lines and trans oil coolerfront shocks rear shockssgear shift handle spring loose,,,,,functions properly...been like that since I purchasedOne hood hinge ...probably see in pic...raised at hinge a little on right side..like that when I bought.  Hood still works fine I have all receipts since purchase and carfax copy I ran in 2019 for prior info before I got it in filegas gauge doesnt work and some gauges not functioning properly....like this when I purchased.  I Think inst cluster replacement would solve most of it....I just keept track of mileage and check fluids ...fixed something if it needed it to work/function.  regular oil changes and maintenance.I think it has extra spring in rear....It will definitely handle a load..Could use a better wash job4,500 or..open to trades....rather just sell itTHIS IS ALL THE INFO I HAVE OR KNOW OFF HAND.  NOTHING ON A PDF FILE. NOT A MECAHNIC. I DRIVE EM. DONT WORK ON EM.   ALL THE PAPERWORK/RECORDS IN THE TRUCK AND TRUCK CAN BE AVAILABLE TO VIEW/INSPECT/DRIVE BY APPOINTMENT.  I try to be flexible to make myself available when you available to look and answer any questions(I will have the paperwork to look for an answer)If your to far away to come look.....look for something closer to you. I HAVE TITLE IN HAND/ ALL HAVE CURRENT INSPECTIONS/READY TO DRIVE. IF ADS UP IT IS STILL AVAILABLEIn person cash only deals ONLY by appointment.  Give me a call....best way to get me. ..just a work truck...been used as one...Thanks for reading all...Just CALL ME if you want to come look."
72,2019 ram promaster 1500,18500,2019.0,https://charlottesville.craigslist.org/cto/d/crozet-2019-ram-promaster-1500/7779509064.html,missing,6.0,9.825526011066415,1.791759469228055,title,2019,good, 6 cylinders,fwd,gas,90000,white,automatic,van,"90,000 milesNew transmission Runs greatSet up as a camper van with easily removed aluminum extrusion to convert it back to a cargo van."
73,1958 ford fairlane 500,18500,1958.0,https://charlottesville.craigslist.org/cto/d/leon-1958-ford-fairlane-500/7779305738.html,ford,67.0,9.825526011066415,4.204692619390966,title,1958,good, 8 cylinders,rwd,gas,87000,custom,automatic,coupe,Tow tone paint new rims and tires 352 big block automatic  transmission really makes heads turn!
74,2014 honda crv ex-l,13000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-honda-crv-ex/7779300072.html,honda,11.0,9.472704636443673,2.3978952727983707,title,2014,excellent, 4 cylinders,4wd,gas,99150,red,automatic,SUV,"Original ownerVery low mileage!No accident or scratchNo pet, smoke99k milesClean titleInterior greyExterior BurgundyAWDNew Michelin Tires1 OwnerI just got a company truck, I don’t need two cars at same time."
75,2005 ford f-150 2wd- not running,1000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2005-ford-150-2wd-not/7779296183.html,ford,20.0,6.907755278982137,2.995732273553991,title,2005,fair, 6 cylinders,fwd,gas,280000,white,automatic,pickup,"2005 Ford F-150 2WD needs computer. Long bed (8'), bed mat, 6 cylinder, automatic, am/fm stereo. Plain truck, some minor body damage on the passenger side, and the tailgate got banged up a bit but opens and closes just fine. It will need to be flat-bedded or towed from Malloy Ford."
76,bmw gt,10000,,https://charlottesville.craigslist.org/cto/d/charlottesville-bmw-gt/7779123777.html,bmw,,9.210340371976184,,title,2014,good, 6 cylinders,4wd,gas,116000,white,automatic,hatchback,"2014 BMW 3351x Drive GT 4door hatchback 300hp 6cyl turbochargedAutomatic with paddle shift if desired, sport or eco mode.Leather seats, power heated seats and heated steering wheel. Weathertec floor mats and cargo compartment.Run flat Bridgestone tires. Cruise, power windows, auto sensing wipers, power sunroof. Rear seat folds flat for larger cargo City milage average 23 mpg 30 highway Runs and drives great. Well maintained. Call for appointment if you are serious"
77,2001 mercedes e320,3000,2001.0,https://charlottesville.craigslist.org/cto/d/scottsville-2001-mercedes-e320/7779120462.html,missing,24.0,8.006367567650246,3.1780538303479458,title,2001,good, 4 cylinders,missing,gas,285000,silver,automatic,sedan,"Great condition, no mechanical issues, excellent tires- or best offer"
78,2007 subaru outback,2500,2007.0,https://charlottesville.craigslist.org/cto/d/oakpark-2007-subaru-outback/7778984172.html,subaru,18.0,7.824046010856292,2.8903717578961645,title,2007,good, 4 cylinders,4wd,gas,208000,blue,automatic,SUV,"2007 SUBARU OUTBACK  4 DOOR AWD , AUTOMATIC TRANS, BLUE, TAN LEATHER INTERIOR, COOL AC, NEW WIPERS; SUN ROOF, GREAT TIRES, INSPECTION GOOD UNTIL OCTOBER, RUNS GREAT DAILY DRIVER, DEER COLISION HISTORY FULLY REPAIRED, NEEDS FRONT BRAKES, OIL LEAK,"
79,1974 dodge stepside 426 hemi,10500,1974.0,https://charlottesville.craigslist.org/cto/d/leon-1974-dodge-stepside-426-hemi/7778782192.html,dodge,51.0,9.259130536145614,3.9318256327243257,title,1974,excellent, 8 cylinders,rwd,gas,68000,yellow,automatic,truck,"Mopar Guys!!!!  Must see this super rare Mopar Stepside loaded with fac-tree options.......Air Conditioning, Power Steering, Power Brakes, Automatic, Radio, Vanity mirror, coat hook, and twin sun visors.......this is Mopar Heaven!   The mileage is ultra low at only 68,000 original miles.  This gem sat in a warehouse for many years, and thus this original paint still shows well, with a little patina to boot.  A close look inside the fender wells, the cab corners, and along the frame will show a rust-free body and frame. The original factory wooden bed has been removed, and beautiful solid cherry boards were used to replace them.  Before installing the cherry boards, the frame was cleaned and painted to ensure an eternal life.  (I have many more pics of this restoration for anyone who wants to see more details).  When you take this rig to the classic car/truck shows, be sure to have paper towels handy, as there will be alot of drooling going on when the Mopar Knucklheads see this fine cherry bed.  The ""426 Hemi"" emblems mixed with a rare 8-foot stepside with a cherry bed.........everyone will be rejoicing at this eye candy, and will surely think that they are in Heaven.  Perhaps some exaggeration, but it does indeed have a very nice cherry bed.  Comes with four 1972 Corvette hubcaps, and two of the original Dodge dog-dish hubcaps.  Is that an insult to Dodge or Corvettes....you can decide......but they look pretty good on the old truck.I will confess and admit that there is one modification from the factory specs that I performed, just to get people's reaction, and it was an inexpensive method of boosting the horse-power (at least in my imagination).  I did add the ""426"" emblems on the fenders, and air cleaner........this truck sports the original 318, which still has plenty of get-up and go.  The original factory primer and paint is still present on the inner fenders, and the exterior paint is original and is proud to display some of the scratches and nicks earned over the past 50 years.  The engine hood has the most paint wear and patina as a result of a prior owner attempting to buff-out the paint, and they were a bit too aggressive.  Fortunately they stopped and did not attempt to buff anymore of the original paint.  The hood could sometime be re-painted or left to preserve the derelict nature of these old Mopar classic trucks.  The original paint is still in great shape in the rear inner fenders.....amazing for a 50 year old Dodge truck.  Starts right up and drives very nice down the highway......power steering is smooth, no vibrations or odd noises.  Plenty of power, and the transmission shifts smoothly like a new one (these TorqueFlights or PowerFlights were built strong and made to last).  The transmission fluid is clean and at the full level when checked with engine at operating temp.  Idles great and without any exhaust leaks. All lights, turn signals, horn, etc. work.Engine initially smoked some due to the Marvel Mystery Oil which I soaked all cylinders with as I was restoring the wooden bed and doing other mechanical work.  That has burned  through the system with some road driving, and it no longer smokes.Maintenance:* Oil and filter recently changed, and 1 qt Marvel Mystery Oil added*  Radiator drained/flushed and new antifreeze added last fall*  New front brake calipers and pads*  Master brake cylinder drained and fresh fluid to all four brakes*  Transmission fluid is clean*   Great compression in all cylinders, about 140psi*  Great Oil Pressure:  65psi at idle at start-up, after warmed up: 40psi at 2000rpm and 25psi at idle*  All new ignition/electronic components*  Exhaust system is in great shape*  Cleaned and repacked front wheel bearings, all in perfect condition*  Removed and cleaned the factory plastic gas tank.  Was in perfect condition, along with fuel gauge sending unit and fuel screen inside tank. One small crack at the top was repaired with multiple layers of fiberglass and resin, and re-installed with rubber on mounting straps to reduce vibration on tank.*  Differential fluid was full and clean*  Air conditioning needs to be recharged/checked for possible leaks*  The heater core hoses have been disconnected due to a possible leak at the heater core hose connection, or a leak in the heater core.*  New wiper motor and wiper drive-linkage bushings.  Cowl gutter is in perfect condition....none of the typical rust.*  Wiring harness connection at fire-wall was inspected and cleaned, and the connectors were in perfect condition, no corrosion, and no sign of heat damage.  I installed another heavy duty wire (shunt wire) from the alternator to the battery which will help ensure that excessive amps do not pass through the firewall connections on its way to the dash volt meter.  An adjustable voltage regulator is on order as the current one is allowing 15.5 volts to the battery which is about a volt too high."
80,2018 tesla model 3 mid range or 2018 tesla model s75d awd,16900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-mid-range-or/7778737328.html,tesla,7.0,9.735068900911164,1.9459101490553132,title,2018,excellent,missing,rwd,electric,126000,missing,automatic,sedan,"DUE TO SPAM, YOUR EMAIL RESPONSE MUST INCLUDE YOUR PHONE NUMBER, OR THE EMAIL WILL BE IGNORED, NO EXCEPTIONSStill available if you can see it.Must call or leave your contact number if you are interested.It has 125K miles.The Model 3 Mid-range is EPA-rated for 260 miles of range.Runs smooth. Everything works as it should.The battery is in excellent condition.Autopilot 2.5.Glass roof, heated seat front and rear.Its not a prior rental vehicle.5YJ3E1EA0JF152241Full self driving is availble for $99/mo.Youtube: https://youtu.be/w8bYzh6bhhIhttps://youtu.be/z4p5rQymcZw2018 Tesla Model S 75D AWD Dual motor $ 26900. Tesla battery and drive unit warranty expires October 17, 2026 unlimited total miles whichever comes first.It has 75K miles. will go up as i drive it daily.Full self driving $99/mo.SummonThe Model S 75D is EPA-rated for 259 miles of range.Air suspension.Full glass roof.For more info please go the tesla website or google it.5YJSA1E22JF270100Full self driving https://youtu.be/z4p5rQymcZw    "
81,2007 ford explorer,2000,2007.0,https://charlottesville.craigslist.org/cto/d/dyke-2007-ford-explorer/7778524782.html,ford,18.0,7.600902459542082,2.8903717578961645,title,2007,missing, 8 cylinders,missing,gas,160000,black,automatic,SUV,2007 Explorer Eddie Bauer edition with advanced traction control. not running. black with saddle interior. body and interior in great condition. stopped driving because of radiator issues. may have tranny issues. can send pictures if interested. 2000 OBO
82,2013 mercedes-benz c 250 cls 4d — very good condition,7999,2013.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2013-mercedes-benz-250/7778509247.html,missing,12.0,8.987071812848821,2.4849066497880004,title,2013,excellent, 4 cylinders,fwd,gas,144000,blue,automatic,sedan,"Very well maintained and loaded 2013 Mercedes C250 in very good condition. Runs excellent. New starter and A/C blower. 35% window tint on all side and rear windows. WeatherTech floor mats. Multiple safety and entertainment features (premium sound, 6-disc CD/DVD), moon roof, full leather interior, driver assistance, backup camera, blind-spot alert, navigation, Bluetooth, keyless start/entry, and more. Some wear on front seat, but protected with seat cover. Please call or text for more info or to schedule a test drive. Serious inquiries only. Thanks!Mechanical: traction control, electronic stability control, ABS (4-wheel)Steering: tilt & telescoping wheelInterior: AM/FM, CD/MP3 (multi-disc) harman-kardon sound, Sirius-XM satellite, navigation system, DVD system, Bluetooth wirelessComfort/convenience: alarm system, keyless entry, KEYLESS-GO, air conditioning, power windows, power door locks, cruise controlSeats: heated seats, dual power seats, full leatherExterior: backup camera, dual air bags, side air bags, F&R head curtain air bags, knee air bags, moon roof Accessory packages: blind-spot alert, driver assistance package, multimedia package, premium package"
83,2017 range rover black edition obo,35000,2017.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2017-range-rover-black/7778267901.html,missing,8.0,10.46310334047155,2.0794415416798357,title,2017,like new, 6 cylinders,4wd,gas,80000,black,automatic,SUV,"Ride in style in this Rover Rover Black Edition. L405, 3.0 Supercharged. It's a pleasure to drive and has a lot of comfort features paired with a smooth transmission and engine for a pleasureful driving experience. Great handling and driving dynamics.It has upgraded timing chain tensioners and guides set, headgasket set and heads machined/resurfaced, new thermostat, new coolant y-pipes underneath supercharger, flushed coolant system, a set of 4 new Michelin tires, power accessories, power lift gate, cooled and heated ventilated seats, panoramic sun roof, adaptive cruise control, satellite radio, tac guages and more tech features not listed.. It had been well maintained and all of it's vital services have been taken care of. No issues or warning lights. Has always been dealership maintained backed by electronic records.NOTE: A legal D.L is required before test drives.Best Reasonable Offer."
84,2017 ford escape,18995,2017.0,https://charlottesville.craigslist.org/cto/d/amherst-2017-ford-escape/7778011749.html,ford,8.0,9.851931065621725,2.0794415416798357,title,2017,excellent, 4 cylinders,fwd,gas,35500,missing,automatic,SUV,"2017 Ford EscapeSE Sport Utility 4D4-Cyl, EcoBoost, 1.5TTransmission: Auto, 6-Spd w/SelShftDrivetrain: FWD"""
85,2008 honda crv exl awd,5300,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-honda-crv-exl-awd/7777943177.html,honda,17.0,8.575462099540212,2.833213344056216,title,2008,good, 4 cylinders,4wd,gas,172700,missing,automatic,missing,"Vehicle is located near Richmond, Virginia. 2008 Honda CRV EXL AWD with just under 173k miles. Clean leather interior, moonroof, all-wheel drive. Runs and drives good. I have no problem taking this vehicle to any local shop in my area (including the dealership) to have a pre purchase inspection done at your expense for your additional peace of mind! $5300 Firm. Calls and texts only please. 804-229-599-three"
